dataset,feature_set,n_features,seed,f1,split,classifier,notes
r6.2,Legacy-Only,23,0,0.9324,time_75pct,GradientBoostingClassifier_n100,Time-based split at 75th percentile of date
r6.2,Legacy-Only,23,1,0.9324,time_75pct,GradientBoostingClassifier_n100,
r6.2,Legacy-Only,23,2,0.9324,time_75pct,GradientBoostingClassifier_n100,
r6.2,Legacy-Only,23,3,0.9324,time_75pct,GradientBoostingClassifier_n100,
r6.2,Legacy-Only,23,4,0.9324,time_75pct,GradientBoostingClassifier_n100,
r6.2,Legacy-Only,23,5,0.9324,time_75pct,GradientBoostingClassifier_n100,
r6.2,Legacy-Only,23,6,0.9324,time_75pct,GradientBoostingClassifier_n100,
r6.2,Legacy-Only,23,7,0.9324,time_75pct,GradientBoostingClassifier_n100,
r6.2,Legacy-Only,23,8,0.9324,time_75pct,GradientBoostingClassifier_n100,
r6.2,Legacy-Only,23,9,0.9324,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM,25,0,0.9319,time_75pct,GradientBoostingClassifier_n100,Adds pbi_drift + pbi_alert
r6.2,+BDM,25,1,0.9319,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM,25,2,0.9319,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM,25,3,0.9319,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM,25,4,0.9319,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM,25,5,0.9319,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM,25,6,0.9319,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM,25,7,0.9319,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM,25,8,0.9319,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM,25,9,0.9319,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM+PSE,26,0,0.9334,time_75pct,GradientBoostingClassifier_n100,Adds aif_score
r6.2,+BDM+PSE,26,1,0.9334,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM+PSE,26,2,0.9334,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM+PSE,26,3,0.9334,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM+PSE,26,4,0.9334,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM+PSE,26,5,0.9334,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM+PSE,26,6,0.9334,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM+PSE,26,7,0.9334,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM+PSE,26,8,0.9334,time_75pct,GradientBoostingClassifier_n100,
r6.2,+BDM+PSE,26,9,0.9334,time_75pct,GradientBoostingClassifier_n100,
r6.2,Full-CIPHER,27,0,0.9334,time_75pct,GradientBoostingClassifier_n100,Adds aif_alert
r6.2,Full-CIPHER,27,1,0.9334,time_75pct,GradientBoostingClassifier_n100,
r6.2,Full-CIPHER,27,2,0.9334,time_75pct,GradientBoostingClassifier_n100,
r6.2,Full-CIPHER,27,3,0.9334,time_75pct,GradientBoostingClassifier_n100,
r6.2,Full-CIPHER,27,4,0.9334,time_75pct,GradientBoostingClassifier_n100,
r6.2,Full-CIPHER,27,5,0.9334,time_75pct,GradientBoostingClassifier_n100,
r6.2,Full-CIPHER,27,6,0.9334,time_75pct,GradientBoostingClassifier_n100,
r6.2,Full-CIPHER,27,7,0.9334,time_75pct,GradientBoostingClassifier_n100,
r6.2,Full-CIPHER,27,8,0.9334,time_75pct,GradientBoostingClassifier_n100,
r6.2,Full-CIPHER,27,9,0.9334,time_75pct,GradientBoostingClassifier_n100,
